Session or Event Title,Session or Event Abbreviation,Session or Event Type,Session or Event Topic,Session or Event Date,Session or Event Start Time,Session or Event End Time,Session or Event Location,Session or Event Details,Session or Event Hosts,Abstract or Placeholder Title,Abstract Final ID,Abstract or Placeholder Start Time,Abstract or Placeholder End Time,Abstract Presenter Name,Abstract Authors,Abstract Status,Institutions All,Abstract Body,Session Abstract Sort Order,"The Program Report was last updated December 16, 2015 at 01:17 AM EST. To view the most recent meeting schedule online, visit https://aas227.abstractcentral.com/planner.jsp"
"Instrumentation: Exoplanets, Adaptive Optics, Transients",427,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Harley Thronson, Harley.A.Thronson@nasa.gov, NASA GSFC",Fast-response optical and near-infrared GRB science with RATIR and RIMAS,427.04D,2:40 PM,3:00 PM,J. Capone*,J. Capone*,Sessioned,The University of Maryland,"Abstract (2,250 Maximum Characters): As the Universe’s most luminous transient events, long gamma-ray bursts (GRBs) are observed at cosmological distances. The afterglow emission generated by the burst’s interaction with the surrounding medium presents the opportunity to study the local environment, as well as intervening systems. The transient nature of these events requires observations starting within minutes of the GRB to maximize the scientific opportunities.<br /><br />This dissertation work comprises efforts to advance the field with a new instrument, the Rapid Infrared Imager and Spectrograph (RIMAS). The optical design is complicated by the broad band coverage (0.97 to 2.39 microns) and the necessity of transmissive optics due to space and weight limitations on the telescope. Additionally, the entire optical system must be cooled to cryogenic temperatures to decrease the background from thermal emission. The completed instrument will be permanently installed on Lowell Observatory’s new 4.3 meter Discovery Channel Telescope (DCT) located in Happy Jack, Arizona. The fast slew time of the telescope, combined with the instrument’s ability to image in two bands simultaneously and switch to spectroscopic configurations in under a minute will allow observers to obtain photometric data within minutes and spectra within ~ ten minutes.<br /><br />In addition to instrumentation work on RIMAS’s optics, early time photometric light curves have been studied primarily using data from the Reionization and Transients Infrared/Optical Project (RATIR). Early time photometric data in six optical and near-infrared (NIR) bands has allowed a study of color evolution in the early to late time SEDs. This study probes possible impacts of the GRB on the local medium as well as intrinsic changes in the afterglow emission.<br /><br />This work is made possible by the RATIR and RIMAS collaborations as well as financial support by the NSF.\n",4,
"Instrumentation: Exoplanets, Adaptive Optics, Transients",427,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Harley Thronson, Harley.A.Thronson@nasa.gov, NASA GSFC",Algolcam: Low Cost Sky Scanning with Modern Technology,427.05,3:00 PM,3:10 PM,M. Connors*,M. Connors*; D. Bolton; I. Doktor,Sessioned,Athabasca University; University of Alberta,"Abstract (2,250 Maximum Characters): Low cost DSLR cameras running under computer control offer good sensitivity, high resolution, small size, and the convenience of digital image handling. Recent developments in small single board computers have pushed the performance to cost and size ratio to unprecedented values, with the further advantage of very low power consumption. Yet a third technological development is motor control electronics which is easily integrated with the computer to make an automated mount, which in our case is custom built, but with similar mounts available commercially. Testing of such a system under a clear plastic dome at our auroral observatory was so successful that we have developed a weatherproof housing allowing use during the long, cold, and clear winter nights at northerly latitudes in Canada. The main advantage of this housing should be improved image quality as compared to operation through clear plastic. We have improved the driving software to include the ability to self-calibrate pointing through the web API of astrometry.net, and data can be reduced automatically through command line use of the Muniwin program. The mount offers slew in declination and RA, and tracking at sidereal or other rates in RA. Our previous tests with a Nikon D5100 with standard lenses in the focal length range 50-200 mm, operating at f/4 to f/5, allowed detection of 12<sup>th</sup> magnitude stars with 30 second exposure under very dark skies. At 85 mm focal length, a field of 15° by 10° is imaged with 4928 by 3264 color pixels, and we have adopted an 85 mm fixed focal length f/1.4 lens (as used by Project Panoptes), which we expect will give a limited magnitude approaching 15. With a large field of view, deep limiting magnitude, low cost, and ease of construction and use, we feel that the Algolcam offers great possibilities in monitoring and finding changes in the sky. We have already applied it to variable star light curves, and with a suitable pipeline for detection of moving or varying objects, it offers great potential for analysis and discovery. The use of low cost cutting edge technology makes Algolcam particularly interesting for enhancing the advanced undergraduate learning experience in astronomy.\n",5,
"Instrumentation: Exoplanets, Adaptive Optics, Transients",427,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Harley Thronson, Harley.A.Thronson@nasa.gov, NASA GSFC",The Rapid Transient Surveyor,427.06,3:10 PM,3:20 PM,C. Baranec*,C. Baranec*; J. Tonry; S. Wright; R. B. Tully; J. R. Lu; M. Y. Takamiya; L. Hunter,Sessioned,University of Hawai`i at Manoa; University of California San Diego; University of Hawai'i at Hilo; University of California Santa Cruz,"Abstract (2,250 Maximum Characters): The next decade of astronomy will be dominated by large area surveys (see the detailed discussion in the Astro-2010 Decadal survey and NRC’s recent OIR System Report). Ground-based optical transient surveys, e.g., LSST, ZTF and ATLAS and space-based exoplanet, supernova, and lensing surveys such as TESS and WFIRST will join the Gaia all-sky astrometric survey in producing a flood of data that will enable leaps in our understanding of the universe. There is a critical need for further characterization of these discoveries through high angular resolution images, deeper images, spectra, or observations at different cadences or periods than the main surveys. Such follow-up characterization must be well matched to the particular surveys, and requires sufficient additional observing resources and time to cover the extensive number of targets.<br />We describe plans for the Rapid Transient Surveyor (RTS), a permanently mounted, rapid-response, high-cadence facility for follow-up characterization of transient objects on the U. of Hawai‘i 2.2-m telescope on Maunakea. RTS will comprise an improved robotic laser adaptive optics system, based on the prototype Robo-AO system (formerly at the Palomar 1.5-m and now at the Kitt Peak 2.2-m telescope), with simultaneous visible and near-infrared imagers as well as a near-infrared integral field spectrograph (R~100, λ = 850 – 1830 nm, 0.15″ spaxels, 8.7″×6.0″ FoV). RTS will achieve an acuity of ~0.07″ in visible wavelengths and < 0.16″ in the near infrared leading to an increase of the infrared point-source sensitivity against the sky background by a factor of ~9, crucial for efficient near-infrared spectroscopy.<br />RTS will allow us to map the dark matter distribution in the z < 0.1 local universe with ten times better accuracy and precision than previous experiments. ATLAS will discover several thousand SNIae per year, measuring SNIa peak brightness, and decline rates, while RTS will measure reddening by dust, confirm SN type and confirm redshifts of the host galaxies. This unique combination of automated detection and characterization of astrophysical transients during a sustained observing campaign will yield the necessary statistics to precisely map dark matter in the local universe.\n",6,
"Instrumentation: Exoplanets, Adaptive Optics, Transients",427,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Harley Thronson, Harley.A.Thronson@nasa.gov, NASA GSFC",The VLA Ionospheric and Transient Experiment (VLITE): A New Commensal System on the NRAO VLA,427.07,3:20 PM,3:30 PM,N. E. Kassim*,N. E. Kassim*; T. E. Clarke; P. S. Ray; W. Brisken; W. L. PETERS; S. Giacintucci; J. F. Helmboldt; T. Mroczkowski; E. Polisensky; J. S. Deneva; F. CARDOSA,withdrawn,NRL; NRAO; CPI; UMD; NRC; WVU,,7,
"Molecular Clouds, HII Regions, Interstellar Medium II",424,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Elisabeth Mills, bmills@aoc.nrao.edu, University of Arizona",The Dense Gas Fraction in Molecular Clouds,424.01,2:00 PM,2:10 PM,N. Imara*,N. Imara*,Sessioned,Harvard-Smithsonian Center for Astrophysics,"Abstract (2,250 Maximum Characters): Stars form in the densest regions of molecular clouds, which are known to have varying levels of star formation activity. But the origin of the so-called dense-gas fraction – the amount of dense gas in a molecular cloud above a certain critical threshold – is unclear. In this study, we compare the dense gas fractions of two molecular clouds with very different rates of star formation: the Rosette and Maddalena. Using far-infrared <i>Herschel</i> observations, we find that ~4% of the molecular mass in the Rosette is contained in gas with extinction A<sub>V</sub> > 7.3 mag [N(H<sub>2</sub>) > 6.9 x 10<sup>21</sup> cm<sup>-2</sup>], while Maddalena has only ~0.7% of its gas above this threshold. Although Maddalena is the more massive cloud, it has fewer young stellar objects (YSOs). In fact, the two clouds follow a power-law relationship described by Lada et al. (2010), in which the number of YSOs, N(YSO), increase as a function of mass above 7.3 mag, M<sub>0</sub>, according to N(YSO) ~ (M<sub>0</sub>)<sup>0.96</sup>.<br />\n",1,
"Molecular Clouds, HII Regions, Interstellar Medium II",424,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Elisabeth Mills, bmills@aoc.nrao.edu, University of Arizona",Molecular hydrogen emission as a density and temperature indicator,424.02D,2:10 PM,2:30 PM,X. Wang*,X. Wang*; G. J. Ferland; J. A. Baldwin; E. D. Loh; A. C. Fabian; R. Williams,Sessioned,University of Kentucky; Michigan State Univerity; University of Cambridge; AWE,"Abstract (2,250 Maximum Characters): Infrared observations have discovered a variety of objects, including filaments in the Crab Nebula and cool-core clusters of galaxies, where the 1-0 S(1) line is stronger than the infrared H I lines. A variety of processes could be responsible for this emission. Although many complete shock or PDR calculations of emission have been published, we know of no previous simple calculation that shows the emission spectrum and level populations of thermally excited low-density . We present a range of purely thermal collisional simulations, corresponding to constant gas kinetic temperature at different densities. We consider the cases where the collisions affecting H<sub>2</sub> are predominantly with atomic or molecular hydrogen. The resulting level population (often called “excitation”) diagrams show that excitation temperatures are sometimes lower than the gas kinetic temperature when the density is too low for the level populations to go to LTE. The atomic case goes to LTE at much lower densities than the molecular case due to larger collision rates. At low densities for the <i>v</i>=1 and 2 vibrational manifolds level populations are quasi-thermal, which could be misinterpreted as showing the gas is in LTE at high density. At low densities for the molecular case the level population diagrams are discontinuous between <i>v</i>=0 and 1 vibrational manifolds and between <i>v</i>=2, <i>J</i>=0, 1 and other higher <i>J</i> levels within the same vibrational manifold. These jumps could be used as density diagnostics. We show how much the H<sub>2</sub> mass would be underestimated using the 1-0 S(1) line strength if the density is below that required for LTE. We give diagnostic diagrams showing level populations over a range of density and temperature. The density where the level populations are given by a Boltzmann distribution relative to the total molecular abundance (required to get the correct H<sub>2</sub> mass), is shown for various cases. We discuss the implications of these results for the interpretation of H<sub>2</sub> observations of the Crab Nebula and filaments in cool-core clusters of galaxies.\n",2,
"Molecular Clouds, HII Regions, Interstellar Medium II",424,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Elisabeth Mills, bmills@aoc.nrao.edu, University of Arizona",RAMPS: The Radio Ammonia Mid-Plane Survey,424.03,2:30 PM,2:40 PM,J. M. Jackson*,J. M. Jackson*; T. Hogge; I. Stephens; J. S. Whitaker,Sessioned,Boston Univ.,"Abstract (2,250 Maximum Characters): The Radio Ammonia Mid-Plane Survey (RAMPS) is a new 1.3 cm survey of the Galactic plane that will simultaneously image several 23 GHz ammonia lines [NH<sub>3</sub> (1,1), (2,2), (3,3), (4,4), and (5,5)] and the 22.2 GHz water maser line from l = 10<sup>o</sup> to 40<sup>o</sup> and b = -0.5<sup>o</sup> to 0.5<sup>o</sup>. RAMPS employs the K-band Focal Plane Array receiver on the NRAO Green Bank Telescope. The main goal of RAMPS is to characterize the Galactic population of dense star-forming molecular clumps by measuring the gas temperatures, column densities, radial velocities, and kinematic distances using the ammonia line ratios. I report results from the survey's first 6.4 square degrees and present large-scale NH3 (1,1), (2,2), and (3,3) integrated intensity maps, gas temperature maps, and column density maps. To date over 500 clumps have been identified and characterized. In addition, RAMPS has now detected 619 water maser sites, most of which are detected for the first time.  Only 60% of the water masers are associated with detected ammonia emission. We have also discovered a remarkable star forming region with unusually broad NH<sub>3</sub> lines (ΔV ~ 25 km/s) and a very rare NH3 (3,3) shock-excited maser. Altough located in the Galactic disk, this clump has characteristics usually found in Galactic Center clouds.\n",3,
"Molecular Clouds, HII Regions, Interstellar Medium II",424,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Elisabeth Mills, bmills@aoc.nrao.edu, University of Arizona",An HST/COS survey of molecular hydrogen in low-z DLAs/sub-DLAs,424.04,2:40 PM,2:50 PM,S. Muzahid*,S. Muzahid*; R. Srianand; J. C. Charlton,Sessioned,The Pennsylvania State University; Inter-University Centre for Astronomy & Astrophysics,"Abstract (2,250 Maximum Characters): Molecular hydrogen (H<sub>2</sub>) is the most abundant molecule in the universe. It plays a crucial role in cooling and molecular chemistry of the interstellar medium (ISM). The Lyman- and Warner-bands absorption of H<sub>2</sub> are detected in 10-20% of high-z Damped Lyman-alpha absorbers (DLAs). Due to the lack of far-UV (FUV) sensitive space based spectrograph in the past, H<sub>2</sub> has never been studied in low-z DLAs/sub-DLAs systematically. However, the unprecedented FUV sensitivity of the Cosmic Origins Spectrograph (COS) aboard the HST has changed this scenario dramatically. Recently, we have conducted the first survey of H<sub>2</sub> in low-z DLAs/sub-DLAs in the public HST/COS archive and found that ~50% of them show H<sub>2</sub> absorption with <i>N</i>(H<sub>2</sub>) > 10<sup>14</sup> cm<sup>-2</sup>. The H<sub>2</sub> incidence rate is, thus, >2 times higher at low-z. We argue that the increase of the cosmic mean metallicity of DLAs/sub-DLAs and the dimming of ambient radiation field due to the decrease of the cosmic star-formation rate density with redshift are responsible for such an enhanced H<sub>2</sub> detection rate at low-z. Simple photoionization models favor a radiation field much weaker than the mean Galactic ISM field and particle density in the range 10-100 cm<sup>-3</sup>. The large impact parameters of the identified host-galaxies suggest that the H<sub>2</sub> bearing gas is not related to star forming disks but stems from self-shielded, tidally stripped or ejected disk-material in the halo or from extended HI disk. Important results of our survey (see 2015MNRAS.448.2840M for details) will be summarized in the talk.\n",4,
"Molecular Clouds, HII Regions, Interstellar Medium II",424,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Elisabeth Mills, bmills@aoc.nrao.edu, University of Arizona",Dust grain alignment in IC 63 - H2 formation enhancement and collisional disalignment,424.05,2:50 PM,3:00 PM,B. Andersson*,B. Andersson*; J. E. Vaillancourt; J. Acosta-Pulido; M. Fernandez,Sessioned,SOFIA Science Center/USRA; Instituto de Astrofísica de Canarias (IAC); Instituto Argentino de Radioastronomía,"Abstract (2,250 Maximum Characters): Interstellar dust grain alignment gives rise to polarization from UV to mm wavelengths, allowing the study of the geometry and strength of the magnetic field. Over the last couple of decades observations and theory have led to the establishment of the Radiative Alignment Torque (RAT) mechanism as the leading candidate to explain the effect. With a quantitatively well constrained theory, polarization can be used not only to study the interstellar magnetic field, but also the dust and other environmental parameters. Photo-dissociation Regions (PDRs), with their intense, anisotropic radiation fields, consequent rapid H2 formation, and high spatial density-contrast provide a rich environment for such studies. Here we discuss an expanded optical, NIR and mm-wave study (cf. Andersson et al. 2013) of the IC 63 reflection nebula, showing strong H2 formation-enhanced alignment and the first direct, empirical, evidence for disalignment due to gas-grain collisions.\n",5,
"Molecular Clouds, HII Regions, Interstellar Medium II",424,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Elisabeth Mills, bmills@aoc.nrao.edu, University of Arizona",The Mass Surface Density Distribution of a High-Mass Protocluster forming from an IRDC and GMC,424.06,3:00 PM,3:10 PM,W. Lim*,W. Lim*; J. C. Tan; J. Kainulainen; B. Ma; M. Butler,Sessioned,University of Florida; Max-Plank-Institute for Astronomy,"Abstract (2,250 Maximum Characters): We study the probability distribution function (PDF) of mass surface densities of infrared dark cloud (IRDC) G028.36+00.07 and its surrounding giant molecular cloud (GMC). Such PDF analysis has the potential to probe the physical processes that are controlling cloud structure and star formation activity. The chosen IRDC is of particular interest since it has almost 100,000 solar masses within a radius of 8 parsecs, making it one of the most massive, dense molecular structures known and is thus a potential site for the formation of a high-mass, “super star cluster”. We study mass surface densities in two ways. First, we use a combination of NIR, MIR and FIR extinction maps that are able to probe the bulk of the cloud structure that is not yet forming stars. This analysis also shows evidence for flattening of the IR extinction law as mass surface density increases, consistent with increasing grain size and/or growth of ice mantles. Second, we study the FIR and sub-mm dust continuum emission from the cloud, especially utlizing Herschel PACS and SPIRE images. We first subtract off the contribution of the foreground diffuse emission that contaminates these images. Next we examine the effects of background subtraction and choice of dust opacities on the derived mass surface density PDF. The final derived PDFs from both methods are compared, including also with other published studies of this cloud. The implications for theoretical models and simulations of cloud structure, including the role of turbulence and magnetic fields, are discussed.\n",6,
"Molecular Clouds, HII Regions, Interstellar Medium II",424,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Elisabeth Mills, bmills@aoc.nrao.edu, University of Arizona",Toward Measuring Galactic Dense Molecular Gas Properties and 3D Distribution with Hi-GAL,424.07,3:10 PM,3:20 PM,E. Zetterlund*,E. Zetterlund*; J. Glenn; P. Maloney,Sessioned,"University of Colorado, Boulder","Abstract (2,250 Maximum Characters): <br />The Herschel Space Observatory’s submillimeter dust continuum survey Hi-GAL provides a powerful new dataset for characterizing the structure of the dense interstellar medium of the Milky Way. Hi-GAL observed a 2° wide strip covering the entire 360° of the Galactic plane in broad bands centered at 70, 160, 250, 350, and 500 μm, with angular resolution ranging from 10 to 40 arcseconds. We are adapting a molecular cloud clump-finding algorithm and a distance probability density function distance-determination method developed for the Bolocam Galactic Plane Survey (BGPS) to the Hi-GAL data. Using these methods we expect to generate a database of 10<sup>5</sup> cloud clumps, derive distance information for roughly half the clumps, and derive precise distances for approximately 20% of them. With five-color photometry and distances, we will measure the cloud clump properties, such as luminosities, physical sizes, and masses, and construct a three-dimensional map of the Milky Way’s dense molecular gas distribution.<br /><br />The cloud clump properties and the dense gas distribution will provide critical ground truths for comparison to theoretical models of molecular cloud structure formation and galaxy evolution models that seek to emulate spiral galaxies. For example, such models cannot resolve star formation and use prescriptive recipes, such as converting a fixed fraction of interstellar gas to stars at a specified interstellar medium density threshold. The models should be compared to observed dense molecular gas properties and galactic distributions.<br /><br />As a pilot survey to refine the clump-finding and distance measurement algorithms developed for BGPS, we have identified molecular cloud clumps in six 2° × 2° patches of the Galactic plane, including one in the inner Galaxy along the line of sight through the Molecular Ring and the termination of the Galactic bar and one toward the outer Galaxy. Distances have been derived for the inner Galaxy clumps and compared to Bolocam Galactic Plane Survey results. We present the pilot survey clump catalog, distances, clump properties, and a comparison to BGPS.\n",7,
"Molecular Clouds, HII Regions, Interstellar Medium II",424,Oral Session,,08-Jan-2016,2:00 PM,3:30 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Elisabeth Mills, bmills@aoc.nrao.edu, University of Arizona",Hydrogen Sticking on Amorphous Water-Ice: A Numerical Study,424.08,3:20 PM,3:30 PM,J. Dupuy*,J. Dupuy*; S. Lewis; P. C. Stancil,Sessioned,University of Georgia,"Abstract (2,250 Maximum Characters): Gas-grain and gas-phase reactions dominate the formation of molecules in the interstellar medium (ISM). Gas-grain reactions require a substrate on which the reaction is able to occur. The formation of molecular hydrogen (H<sub>2</sub>) in the ISM is a prime example of a gas-grain reaction. In these reactions, an atom of hydrogen will strike a surface, adsorb to the surface, interact with the molecular structure of substrate (in this case water), form molecular hydrogen, and then be ejected from the surface. We perform classical molecular dynamics (MD) simulations of hydrogen atoms sticking to an amorphous water-ice surface. This study examines the first step in the process; the sticking of the atom to the substrate. This talk emphasizes the importance of accurately defining a sticking event in calculating sticking probabilities which are used to obtain a reasonable model for H<sub>2</sub> formation in the ISM. With these sticking probabilities calculated, sticking coefficients are obtained for various ice substrate temperatures and incident H-atom kinetic energies.\n",8,
Opening a New Window on Cosmological Structure with Intensity Mapping,426,Special Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Michael Zemcov, zemcov@cfd.rit.edu, Rochester Institute of Technology",21-cm Intensity Mapping,426.01,2:00 PM,2:10 PM,T. Chang*,T. Chang*,Sessioned,ASIAA,"Abstract (2,250 Maximum Characters): The redshifted 21-cm emission from neutral hydrogen has emerged as a powerful probe for large-scale structure; a significant fraction of the observable universe can be mapped in the Intensity Mapping regime out to high redshifts.  At redshifts around unity, the 21-cm emission traces the matter distribution and can be used to measure the Baryon Acoustic Oscillation (BAO) signature and constrain dark energy properties. I will describe our HI Intensity Mapping program at the Green Bank Telescope (GBT), aiming at measuring the 21cm power spectrum at z=0.8.  A 800-MHz multi-beam focal-plane array for the GBT is currently under construction in order to facilitate a large-scale survey for BAO and the redshift-space distortion measurements for cosmological constraints.\n",1,
Opening a New Window on Cosmological Structure with Intensity Mapping,426,Special Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Michael Zemcov, zemcov@cfd.rit.edu, Rochester Institute of Technology",Recent Results from Broad-Band Intensity Mapping Measurements of Cosmic Large Scale Structure,426.02,2:10 PM,2:20 PM,M. B. Zemcov*,M. B. Zemcov*,Sessioned,Rochester Institute of Technology,"Abstract (2,250 Maximum Characters): Intensity mapping integrates the total emission in a given spectral band over the universe's history.  Tomographic measurements of cosmic structure can be performed using specific line tracers observed in narrow bands, but a wealth of information is also available from broad-band observations performed by instruments capable of capturing high-fidelity, wide-angle images of extragalactic emission.  Sensitive to the continuum emission from faint and diffuse sources, these broad-band measurements provide a view on cosmic structure traced by components not readily detected in point source surveys.  After accounting for measurement effects and astrophysical foregrounds, the angular power spectra of such data can be compared to predictions from models to yield powerful insights into the history of cosmic structure formation.  This talk will highlight some recent measurements of large scale structure performed using broad-band intensity mapping methods that have given new insights on faint, distant, and diffuse components in the extragalactic background light.\n",2,
Opening a New Window on Cosmological Structure with Intensity Mapping,426,Special Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Michael Zemcov, zemcov@cfd.rit.edu, Rochester Institute of Technology",Lya intensity mapping: current observational results from SDSS/BOSS and its future potential.,426.03,2:20 PM,2:30 PM,R. A. Croft*,R. A. Croft*; J. Miralda-Escudé; Z. Zheng,Sessioned,"Carnegie Mellon Univ.; Institucio Catalana de Recerca i Estudis Avancats; Institut de Ci`encies del Cosmos, Universitat de Barcelona; Department of Physics and Astronomy, University of Utah","Abstract (2,250 Maximum Characters): Over the past 10 years, widefield optical survey telescopes have taken several million fiber spectra of objects in the night sky. This enormous dataset can be used to carry out optical intensity mapping measurements right now, as well as informing and motivating future dedicated instruments. Using cross-correlation techniques have made measurements of the large-scale structure of the Universe in the hydrogen Lyman-alpha line from SDSS/BOSS fiber spectra. We compare our results to the structure expected in the LambdaCDM cosmological model, and make the first global estimate of the Lyman-alpha luminosity density of the Universe. We discuss how lessons learned during our analysis can be applied to future experiments, and which observational tracers will be useful for further applications of these techniques. We also show how intensity mapping could dramatically enhance our ability to make measurements of new effects in galaxy clustering, such as general and special relativistic distortions.<br />\n",3,
Opening a New Window on Cosmological Structure with Intensity Mapping,426,Special Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Michael Zemcov, zemcov@cfd.rit.edu, Rochester Institute of Technology",Cosmic Structure and Galaxy Evolution through Intensity Mapping of Molecular Gas,426.04,2:30 PM,2:40 PM,G. C. Bower*,G. C. Bower*; G. K. Keating; D. P. Marrone,Sessioned,ASIAA; UC Berkeley; University of Arizona,"Abstract (2,250 Maximum Characters): The origin and evolution of structure in the Universe is one of the major challenges of observational astronomy.  How does baryonic structure trace the underlying dark matter? How have galaxies evolved to produce the present day Universe?  A multi-wavelength, multi-tool approach is necessary to provide the complete story of the evolution of structure in the Universe.  Intensity mapping, which relies on the ability to detect many objects at once through their integrated emission rather than direct detection of individual objects, is a critical part of this mosaic.  In particular, our understanding of the molecular gas component of massive galaxies is being revolutionized by ALMA and EVLA but the population of smaller, star-forming galaxies, which provide the bulk of star formation cannot be individually probed by these instruments.<br /><br />In this talk, I will summarize two intensity mapping experiments to detect molecular gas through the carbon monoxide (CO) rotational transition.  We have completed sensitive observations with the Sunyaev-Zel'dovic Array (SZA) telescope at a wavelength of 1 cm that are sensitive to emission at redshifts 2.3 to 3.3.  The SZA experiments sets strong limits on models for the CO emission and demonstrates the ability to reject foregrounds and telescope systematics in very deep integrations.  I also describe the development of an intensity mapping capability for the Y.T. Lee Array, a 13-element interferometer located on Mauna Loa. In its first phase, this project focuses on detection of CO at redshifts 2.4 - 3.0 with detection via power spectrum and cross-correlation with other surveys. The project includes a major technical upgrade, a new digital correlator and IF electronics component to be deployed in 2015/2016. The Y.T. Lee Array observations will be more sensitive and extend to larger angular scales than the SZA observations.\n",4,
Opening a New Window on Cosmological Structure with Intensity Mapping,426,Special Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Michael Zemcov, zemcov@cfd.rit.edu, Rochester Institute of Technology",Gary Hinshaw,426.05,2:40 PM,2:50 PM,,,,,,5,
Opening a New Window on Cosmological Structure with Intensity Mapping,426,Special Session,,08-Jan-2016,2:00 PM,3:30 PM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Michael Zemcov, zemcov@cfd.rit.edu, Rochester Institute of Technology",The CO Mapping Array Pathfinder (COMAP),426.06,2:50 PM,3:00 PM,K. Cleary*,K. Cleary*; M. Bigot-Sazy; D. Chung; S. E. Church; C. Dickinson; H. Eriksen; t. gaier; P. Goldsmith; J. O. Gundersen; S. Harper; A. I. Harris; J. Lamb; T. Li; R. Munroe; T. J. Pearson; A. C. Readhead; R. H. Wechsler; I. K. Wehus; D. Woody,Sessioned,California Institute of Technology; Stanford University; University of Maryland; University of Miami; University of Manchester; University of Oslo; Jet Propulsion Laboratory,"Abstract (2,250 Maximum Characters): The CO Mapping Array Pathfinder (COMAP) will open a new window on both the Epoch of Reionization (EoR) and the Epoch of Galaxy Assembly by using carbon monoxide (CO) lines to trace the distribution of star-forming galaxies in both epochs. Phase I of COMAP comprises a 10-m telescope, located at the Owens Valley Radio Observatory (OVRO), equipped with a 19-pixel spectrometer array that will map a total of 10 square degrees of sky in the frequency range 30-34 GHz, with spectral resolution R~800. This band will be sensitive to CO(1-0) in the redshift slice z=2.4-2.8 and to CO(2-1) in the redshift slice z = 5.8-6.7.<br /><br />Constraining the CO power spectrum from the EoR will ultimately require measurements at multiple frequencies and arrays with hundreds of elements. The aim of this pathfinder experiment is to i) demonstrate the feasibility and future potential of wide-field CO intensity mapping, and ii) provide a test-bed for the technology development and observational strategies. Phase I of COMAP will focus on constraining the CO power spectrum from the Epoch of Galaxy Assembly, at z=2.4-2.8. A wide range of predictions for the strength of this power spectrum have appeared in the literature; much of this range can either be confirmed or ruled out by COMAP.<br /><br />Cross-correlation with galaxy surveys in this redshift range will allow us to disentangle the impact of cosmological parameters, star formation rate (SFR) and the CO-SFR connection. Cross-correlation will also establish confidence that the observed signal is CO and allow inferences to be drawn about the unobserved, but CO-luminous galaxy population. The COMAP fields will therefore be chosen to overlap with galaxy surveys.<br /><br />COMAP Phase I observations are planned to start in late 2017, continuing until late 2019.\n",6,
